Strategies selected are: 
structure_name mc_cycles cal_time cal_steps rmsd_to_p26 restraint_scale_end R_start R_end rmsd(b)_start rmsd(b)_end
[opt_qm]
212_WGG14-new/1.5 3.2 128.33415 119.9 1.75816807777 1.0 0.34733 0.51658 0.08625 0.02815
213_WGG15-new/0.3 3.0 117.50152 96.0 0.305485959041 1.0 0.18769 0.20027 0.08806 0.02641
213_WGG15-new/0.6 3.9 166.019 159.3 0.562665896686 1.0 0.28994 0.32494 0.08679 0.02634
213_WGG15-new/0.9 5.4 240.93709 236.2 0.847247432091 1.0 0.26221 0.42422 0.08573 0.02636
213_WGG15-new/1.2 5.0 210.41105 204.5 1.28160765708 1.0 0.35122 0.49625 0.08107 0.02781
213_WGG15-new/1.5 4.0 167.07597 159.1 1.70830442181 1.0 0.33328 0.56153 0.08692 0.02891
214_WGG01-new/0.3 3.3 134.07457 119.6 0.341467096783 1.0 0.14719 0.11303 0.08445 0.02651
214_WGG01-new/0.6 4.2 180.34759 169.1 0.485398471575 1.0 0.33623 0.23265 0.08538 0.02681
214_WGG01-new/0.9 5.4 228.01159 226.6 0.817144913951 1.0 0.52252 0.40158 0.08686 0.02836
214_WGG01-new/1.2 3.6 151.93322 140.0 1.38407329849 1.0 0.49614 0.52965 0.08833 0.0295
214_WGG01-new/1.5 3.2 129.5063 108.1 1.72315048611 1.0 0.48575 0.54925 0.0878 0.0293
215_WGG07-new/0.3 4.2 175.66889 169.5 0.393627458167 1.0 0.17391 0.24092 0.07918 0.0263
215_WGG07-new/0.6 3.7 153.76187 139.6 0.462790842848 1.0 0.21257 0.291 0.0867 0.02668
215_WGG07-new/0.9 4.6 189.1601 191.4 0.81460158191 1.0 0.30557 0.43539 0.08367 0.0277
215_WGG07-new/1.2 4.9 211.04868 201.5 1.23228571332 1.0 0.4098 0.50372 0.08484 0.02849
215_WGG07-new/1.5 3.5 143.17931 133.7 1.76053597025 1.0 0.40402 0.50843 0.08502 0.02771
216_WGG11-new/0.3 3.6 146.54162 124.7 0.262192944437 1.0 0.14825 0.19309 0.084 0.02787
216_WGG11-new/0.6 5.3 230.00124 222.0 0.715228743696 1.0 0.2595 0.41839 0.08587 0.02841
216_WGG11-new/0.9 4.5 189.01992 180.0 1.03343764368 1.0 0.42683 0.50311 0.08703 0.0286
216_WGG11-new/1.2 4.5 194.5466 179.9 1.36000375553 1.0 0.40204 0.54087 0.08537 0.02872
216_WGG11-new/1.5 3.4 139.92437 136.2 1.73145155801 1.0 0.45786 0.54021 0.08651 0.02859
217_WGG09-new/0.3 3.1 133.96949 119.2 0.25139025481 1.0 0.18246 0.15747 0.08495 0.02727
217_WGG09-new/0.6 4.4 187.73196 177.0 0.506457911672 1.0 0.42263 0.31222 0.08559 0.02719
217_WGG09-new/0.9 5.4 230.85547 225.3 0.886099755809 1.0 0.57731 0.46678 0.08514 0.02758
217_WGG09-new/1.2 3.8 158.65744 149.0 1.25778355647 1.0 0.54017 0.56222 0.08573 0.02848
217_WGG09-new/1.5 3.8 160.44785 151.1 1.51251505553 1.0 0.57716 0.58337 0.08883 0.02858
218_WGG13-new/0.3 3.3 132.65184 123.2 0.290701007784 1.0 0.16286 0.18616 0.08032 0.02651
218_WGG13-new/0.6 4.2 182.20974 163.3 0.509487720556 1.0 0.31794 0.28604 0.08399 0.02656
218_WGG13-new/0.9 6.2 270.52447 276.2 0.743501254738 1.0 0.49393 0.3818 0.08534 0.02671
218_WGG13-new/1.2 4.1 170.61517 161.6 1.16205584766 1.0 0.51627 0.45348 0.08658 0.02871
218_WGG13-new/1.5 3.9 161.75499 150.7 1.65574703343 1.0 0.54356 0.51073 0.08721 0.02926
219_WGG10-new/0.3 3.0 120.79328 106.6 0.335511011062 1.0 0.22702 0.20069 0.0899 0.02658
219_WGG10-new/0.6 3.5 139.3192 125.5 0.558832223694 1.0 0.3331 0.33326 0.0858 0.02623
219_WGG10-new/0.9 4.9 207.52537 206.3 0.836309373067 1.0 0.35004 0.42316 0.08381 0.02641
219_WGG10-new/1.2 5.5 239.78933 234.5 1.2890572592 1.0 0.38431 0.50583 0.08345 0.02764
219_WGG10-new/1.5 4.1 171.87376 163.7 1.66708666658 1.0 0.46861 0.55064 0.08474 0.0288
220_WGG12-new/0.3 3.3 129.60275 110.2 0.31894523291 1.0 0.18036 0.22339 0.08284 0.0267
220_WGG12-new/0.6 3.8 162.84768 146.8 0.530076560655 1.0 0.2843 0.29971 0.08922 0.02646
220_WGG12-new/0.9 4.5 191.32014 186.5 0.981020512039 1.0 0.47016 0.43888 0.08386 0.0286
220_WGG12-new/1.2 3.2 127.57599 113.9 1.37621522428 1.0 0.61516 0.53725 0.08724 0.02879
220_WGG12-new/1.5 3.2 128.95638 119.2 1.70020741797 1.0 0.35495 0.53871 0.08683 0.0289
221_GGF14-new/0.3 3.0 112.01563 87.4 0.334019333828 1.0 0.1892 0.16637 0.08537 0.02655
221_GGF14-new/0.6 2.5 98.24139 79.5 0.753041452627 1.0 0.26536 0.36355 0.0851 0.0264
221_GGF14-new/0.9 2.9 110.91921 98.2 1.05393003641 1.0 0.39969 0.46839 0.08712 0.02641
221_GGF14-new/1.2 3.8 154.63791 141.7 1.35117136867 1.0 0.37545 0.56357 0.08813 0.02653
221_GGF14-new/1.5 3.0 113.25992 98.8 1.76304922997 1.0 0.409 0.5967 0.08648 0.02693
222_GGF13-new/0.3 2.2 79.41489 66.3 0.334938766194 1.0 0.14008 0.16733 0.09181 0.02648
222_GGF13-new/0.6 2.8 109.85747 90.1 0.679676539546 1.0 0.29162 0.32409 0.09056 0.0263
222_GGF13-new/0.9 3.2 127.69894 116.0 1.01693587537 1.0 0.48935 0.43845 0.08753 0.02654
222_GGF13-new/1.2 3.1 118.09195 108.9 1.38708380563 1.0 0.60592 0.53067 0.08678 0.02688
222_GGF13-new/1.5 3.2 126.43673 117.3 1.77468390999 1.0 0.58914 0.55155 0.08747 0.02736
223_GGF07-new/0.3 2.4 90.88334 76.4 0.312904928667 1.0 0.26337 0.17692 0.08986 0.02721
223_GGF07-new/0.6 2.7 108.29947 93.6 0.729474945147 1.0 0.42871 0.38129 0.08924 0.02742
223_GGF07-new/0.9 2.9 113.31374 100.8 1.22322738806 1.0 0.39133 0.48903 0.09014 0.02803
223_GGF07-new/1.2 3.9 157.13989 148.2 1.45661506291 1.0 0.38643 0.54028 0.08857 0.02906
223_GGF07-new/1.5 4.0 166.65141 159.2 1.75329189428 1.0 0.48661 0.57279 0.08723 0.02861
224_GGF12-new/0.3 3.1 125.63155 114.5 0.417287246542 1.0 0.20601 0.18965 0.0864 0.02892
224_GGF12-new/0.6 5.7 238.46839 234.3 0.760798480266 1.0 0.3436 0.30897 0.08988 0.02854
224_GGF12-new/0.9 3.9 154.4352 148.3 1.02922737968 1.0 0.54804 0.43593 0.08669 0.02837
224_GGF12-new/1.2 3.7 141.26493 131.5 1.49977919647 1.0 0.46974 0.4761 0.08641 0.02876
224_GGF12-new/1.5 3.7 150.39038 145.3 1.78727182386 1.0 0.45338 0.52377 0.08809 0.02853
225_GGF10-new/0.3 3.0 115.431 105.0 0.367806811682 1.0 0.21745 0.16756 0.08864 0.0278
225_GGF10-new/0.6 2.8 107.89086 92.2 0.777434681112 1.0 0.27912 0.34592 0.08879 0.02788
225_GGF10-new/0.9 4.3 175.46229 173.4 1.13891013235 1.0 0.52835 0.40275 0.08783 0.02823
225_GGF10-new/1.2 3.5 142.50072 134.5 1.34824168993 1.0 0.60751 0.52704 0.08796 0.02871
225_GGF10-new/1.5 3.7 145.14361 141.2 1.7422537039 1.0 0.56057 0.55507 0.0872 0.02895
226_GGF15-new/0.3 2.6 101.53084 90.9 0.331273657987 1.0 0.1863 0.14582 0.08915 0.02677
226_GGF15-new/0.6 3.7 144.43589 145.3 0.594995072163 1.0 0.263 0.33503 0.08784 0.0268
226_GGF15-new/0.9 5.2 215.6763 222.2 0.953011871214 1.0 0.38222 0.43289 0.08937 0.02723
226_GGF15-new/1.2 3.9 156.79793 150.0 1.33416213949 1.0 0.48558 0.55645 0.08704 0.02873
226_GGF15-new/1.5 3.4 135.67566 129.5 1.68516564396 1.0 0.55334 0.56641 0.08739 0.0295
227_GGF04-new/0.3 2.9 103.74964 83.0 0.412366015003 1.0 0.15703 0.18124 0.08022 0.02795
227_GGF04-new/0.6 3.3 132.74372 128.1 0.674158425012 1.0 0.36778 0.28807 0.0881 0.02821
227_GGF04-new/0.9 4.5 181.85614 176.8 0.943236688182 1.0 0.53496 0.40205 0.08656 0.02835
227_GGF04-new/1.2 3.6 149.23552 139.0 1.32091185051 1.0 0.55308 0.51812 0.08835 0.02809
227_GGF04-new/1.5 3.7 146.71557 130.7 1.75463908131 1.0 0.52585 0.54364 0.08737 0.02828
228_GGF08-new/0.3 2.9 107.21873 87.9 0.431009866235 1.0 0.09802 0.23049 0.09293 0.02815
228_GGF08-new/0.6 3.0 116.93742 107.7 0.765213583469 1.0 0.1969 0.40739 0.08641 0.02808
228_GGF08-new/0.9 3.0 119.8483 107.6 1.10292993117 1.0 0.28167 0.49989 0.08703 0.0279
228_GGF08-new/1.2 3.2 123.86352 113.0 1.45200992433 1.0 0.39469 0.57782 0.08664 0.02808
228_GGF08-new/1.5 3.1 119.85516 111.7 1.75299580634 1.0 0.51561 0.66637 0.08832 0.02877
229_GGF11-new/0.3 2.8 105.42491 90.4 0.263749132395 1.0 0.18121 0.1946 0.09037 0.02724
229_GGF11-new/0.6 4.6 188.19945 187.1 0.557662693013 1.0 0.3917 0.32424 0.08967 0.02791
229_GGF11-new/0.9 4.1 163.70048 165.6 0.788601329283 1.0 0.49702 0.41432 0.0871 0.02934
229_GGF11-new/1.2 4.9 200.04788 208.6 1.29925800899 1.0 0.55384 0.51836 0.08819 0.02871
229_GGF11-new/1.5 4.5 189.42748 187.0 1.77874568655 1.0 0.52697 0.53053 0.08748 0.02833
230_GGF09-new/0.3 2.8 109.68174 99.8 0.41634119299 1.0 0.19987 0.18349 0.08907 0.02814
230_GGF09-new/0.6 3.4 133.89525 125.4 0.702761140054 1.0 0.52426 0.33957 0.08601 0.02796
230_GGF09-new/0.9 3.5 143.31962 133.2 1.02377139544 1.0 0.60053 0.46653 0.08733 0.02789
230_GGF09-new/1.2 3.6 140.50917 134.1 1.35050158386 1.0 0.67793 0.53684 0.08998 0.02843
230_GGF09-new/1.5 3.6 144.51063 140.3 1.64940975819 1.0 0.70056 0.57415 0.08867 0.0287
231_GGF01-new/0.3 3.4 133.78821 133.1 0.333391794749 1.0 0.17508 0.1705 0.08898 0.02723
231_GGF01-new/0.6 3.5 140.7361 134.1 0.561038661299 1.0 0.28807 0.29259 0.08899 0.02757
231_GGF01-new/0.9 3.5 134.78092 131.0 1.06011286768 1.0 0.29059 0.45388 0.08792 0.02939
231_GGF01-new/1.2 4.8 195.68823 199.9 1.26546727758 1.0 0.47212 0.48451 0.08701 0.02942
231_GGF01-new/1.5 3.8 151.75759 148.8 1.74033295003 1.0 0.5454 0.5401 0.08596 0.02946
232_GGF06-new/0.3 3.4 126.0364 106.1 0.278185224796 1.0 0.36591 0.14692 0.08539 0.02868
232_GGF06-new/0.6 2.7 100.51888 90.6 0.759384608913 1.0 0.57172 0.33194 0.08904 0.02871
232_GGF06-new/0.9 4.4 186.02709 187.6 1.11427298955 1.0 0.58655 0.46877 0.087 0.02703
232_GGF06-new/1.2 4.6 191.63744 190.7 1.41184826361 1.0 0.67518 0.4726 0.08803 0.02885
232_GGF06-new/1.5 4.9 203.54098 206.5 1.70703697323 1.0 0.6756 0.54385 0.08655 0.02876
233_GGF03-new/0.3 3.2 126.91972 116.9 0.311119074144 1.0 0.22408 0.18019 0.09062 0.02784
233_GGF03-new/0.6 3.9 154.47907 140.5 0.788965723197 1.0 0.41641 0.36295 0.08739 0.02838
